	Unnamed: 0	Unnamed: 0.1	Year	Player	Pos	Age	Tm	G	MP	PER	TS%	3PAr	FTr	ORB%	DRB%	TRB%	AST%	STL%	BLK%	TOV%	USG%	OWS	DWS	WS	WS/48	OBPM	DBPM	BPM	VORP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	height	weight	cluster_ID
10619	13951	22257	2014	Jeff Adrien	PF	27	TOT	53	961.0	0.651821019771	0.553	0.0	0.433	11.8	24.8	18.2	6.8	1.3	3.0	10.6	17.3	0.0599375650364	0.0412070759625	0.101144640999	0.134	-0.0524453694069	0.0112382934443	-0.0412070759625	0.00749219562955	5.35691987513	10.3017689906	0.52	0.0	0.0	0.0	5.35691987513	10.3017689906	0.52	0.52	2.84703433923	4.45785639958	0.639	3.82101977107	7.64203954214	11.4630593132	1.42351716961	0.899063475546	1.34859521332	1.46097814776	4.04578563996	13.5608740895	201.0	111.0	3
9318	12621	19974	2010	DeJuan Blair	PF	20	SAS	82	1494.0	0.426506024096	0.564	0.004	0.325	16.0	25.1	20.6	7.1	1.8	1.9	16.5	20.8	0.0433734939759	0.0674698795181	0.110843373494	0.147	-0.0168674698795	0.033734939759	0.0168674698795	0.0240963855422	6.6265060241	11.9277108434	0.556	0.0	0.0481927710843	0.0	6.6265060241	11.8795180723	0.558	0.556	2.12048192771	3.87951807229	0.547	4.81927710843	7.85542168675	12.6746987952	1.56626506024	1.20481927711	0.939759036145	2.69879518072	5.39759036145	15.3734939759	201.0	122.0	3
11828	15171	24328	2017	Roy Hibbert	C	30	CHO	42	671.0	0.724292101341	0.613	0.0	0.521	8.6	16.3	12.5	4.5	0.6	5.8	14.9	14.0	0.053651266766	0.0429210134128	0.0965722801788	0.13	-0.155588673621	0.0965722801788	-0.0590163934426	0.0053651266766	4.18479880775	7.72578241431	0.542	0.0	0.0	0.0	4.18479880775	7.72578241431	0.542	0.542	3.27272727273	4.02384500745	0.813	2.8435171386	5.31147540984	8.15499254844	1.07302533532	0.429210134128	2.3606557377	1.66318926975	5.2041728763	11.6423248882	218.0	122.0	3
11127	14464	23140	2015	Dwight Howard	C	29	HOU	41	1223.0	0.565167620605	0.596	0.005	0.641	10.0	28.9	19.5	7.3	1.1	3.4	17.5	23.3	0.0412101390025	0.064758789861	0.105968928863	0.14	-0.0706459525756	0.0353229762878	-0.0353229762878	0.00883074407195	7.38838920687	12.4513491415	0.593	0.0294358135732	0.0588716271464	0.5	7.3589533933	12.3924775143	0.594	0.595	4.20932134096	7.97710547833	0.528	3.23793949305	9.44889615699	12.68683565	1.47179067866	0.824202780049	1.56009811938	3.38511856092	4.03270645953	19.0155355683	211.0	120.0	3
10779	14111	22535	2014	Dwight Howard	C	28	HOU	71	2396.0	0.320033388982	0.6	0.009	0.798	11.4	27.9	20.1	9.3	1.2	4.0	17.5	24.0	0.0601001669449	0.0616026711185	0.12020033389	0.161	-0.00450751252087	0.0330550918197	0.0285475792988	0.0360601001669	7.10684474124	12.020033389	0.591	0.0300500834725	0.105175292154	0.286	7.07679465776	11.9148580968	0.594	0.593	5.24373956594	9.58597662771	0.547	3.47078464107	9.5409015025	13.0116861436	1.96828046745	0.901502504174	1.92320534224	3.4407345576	3.60601001669	19.4874791319	211.0	120.0	3
11124	14461	23137	2015	Ryan Hollins	C	30	SAC	46	441.0	1.0693877551	0.648	0.0	0.659	9.6	16.6	13.2	5.0	0.7	3.4	19.1	13.1	0.0571428571429	0.0244897959184	0.0816326530612	0.104	-0.114285714286	0.0	-0.114285714286	0.00816326530612	4.32653061224	6.69387755102	0.646	0.0	0.0	0.0	4.32653061224	6.69387755102	0.646	0.646	2.5306122449	4.40816326531	0.574	2.9387755102	5.4693877551	8.40816326531	1.14285714286	0.489795918367	1.55102040816	2.04081632653	5.30612244898	11.1836734694	213.0	108.0	3
11882	15226	24412	2017	David Lee	PF	33	SAS	79	1477.0	0.448476641842	0.613	0.0	0.269	11.6	21.9	16.9	13.0	1.1	2.2	14.9	16.9	0.0779959377116	0.0609343263372	0.138930264049	0.186	0.0170616113744	0.0609343263372	0.0779959377116	0.0463100880162	6.04468517265	10.2369668246	0.59	0.0	0.0	0.0	6.04468517265	10.2369668246	0.59	0.59	1.94989844279	2.75423155044	0.708	3.60731211916	7.11712931618	10.7244414353	3.02234258632	0.755585646581	0.974949221395	1.99864590386	3.04671631686	14.0392687881	201.0	102.0	3
11705	15048	24135	2017	Aron Baynes	C	30	DET	75	1163.0	0.405503009458	0.57	0.0	0.337	10.0	21.6	15.6	3.9	0.7	2.8	13.5	14.1	0.0433361994841	0.0464316423044	0.0928632846088	0.123	-0.0897678417885	0.0340498710232	-0.0557179707653	0.00309544282029	4.42648323302	8.63628546862	0.513	0.0	0.0	0.0	4.42648323302	8.63628546862	0.513	0.513	2.44539982803	2.90971625107	0.84	3.43594153052	6.87188306105	10.3078245916	0.990541702494	0.52622527945	1.20722269991	1.54772141015	5.13843508169	11.2983662941	208.0	117.0	3
11115	14452	23127	2015	John Henson	C	24	MIL	67	1228.0	0.527687296417	0.578	0.0	0.396	11.7	17.4	14.5	7.8	1.2	9.3	17.6	18.1	0.0381107491857	0.0703583061889	0.105537459283	0.142	-0.0557003257329	0.134853420195	0.0791530944625	0.0439739413681	5.74592833876	10.1433224756	0.566	0.0	0.0	0.0	5.74592833876	10.1433224756	0.566	0.566	2.28664495114	4.01628664495	0.569	3.63517915309	5.51140065147	9.14657980456	1.72964169381	0.820846905537	3.95765472313	2.55048859935	4.45602605863	13.7785016287	211.0	103.0	3
11823	15166	24323	2017	John Henson	C	26	MIL	58	1123.0	0.490471950134	0.55	0.003	0.346	9.6	20.8	15.3	7.7	1.3	6.1	13.0	16.6	0.0352626892253	0.0512911843277	0.086553873553	0.115	-0.0833481745325	0.080142475512	-0.00320569902048	0.0160284951024	5.09706144256	9.90560997329	0.515	0.0	0.0320569902048	0.0	5.09706144256	9.87355298308	0.516	0.515	2.37221727516	3.43009795191	0.692	2.94924309884	6.50756901158	9.45681211042	1.82724844167	0.929652715939	2.50044523598	1.69902048085	4.84060552093	12.5663401603	211.0	103.0	3
