	Unnamed: 0	Unnamed: 0.1	Year	Player	Pos	Age	Tm	G	MP	PER	TS%	3PAr	FTr	ORB%	DRB%	TRB%	AST%	STL%	BLK%	TOV%	USG%	OWS	DWS	WS	WS/48	OBPM	DBPM	BPM	VORP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	height	weight	cluster_ID
22	3240	5047	1978	Tom Boswell	PF	24	BOS	65	1149.0	0.404177545692	0.563	0.0	0.345	10.6	14.8	12.7	8.6	1.0	0.6	18.8	17.1	0.0501305483029	0.0344647519582	0.0845953002611	0.111	-0.00939947780679	-0.0156657963446	-0.0250652741514	0.0125326370757	5.79634464752	11.1853785901	0.518	0.0	0.0	0.0	5.79634464752	11.1853785901	0.518	0.518	2.9138381201	3.85378590078	0.756	3.66579634465	5.35770234987	9.02349869452	2.22454308094	0.783289817232	0.43864229765	2.97650130548	6.39164490862	14.5065274151	206.0	99.0	5
1056	4279	6544	1982	Len Elmore	C	29	NJN	81	2100.0	0.202285714286	0.506	0.0	0.261	8.9	14.9	11.9	6.4	2.0	2.6	15.8	16.4	0.00857142857143	0.0617142857143	0.0702857142857	0.094	-0.0377142857143	0.0428571428571	0.00685714285714	0.0205714285714	5.14285714286	11.1771428571	0.46	0.0	0.0	0.0	5.14285714286	11.1771428571	0.46	0.46	2.31428571429	2.91428571429	0.794	2.86285714286	4.69714285714	7.56	1.71428571429	1.57714285714	1.57714285714	2.33142857143	4.8	12.6	206.0	99.0	5
1055	4278	6543	1982	James Edwards	C	26	CLE	77	2539.0	0.224025206774	0.545	0.004	0.328	7.9	18.6	12.9	7.4	0.5	2.6	12.1	21.8	0.042536431666	0.0184324537219	0.0609688853879	0.08	0.0	-0.0085072863332	-0.0085072863332	0.0127609294998	7.48641197322	14.6467113037	0.511	0.0	0.0567152422213	0.0	7.48641197322	14.5899960614	0.513	0.511	3.28948404884	4.80661677826	0.684	2.67979519496	5.55809373769	8.23788893265	1.74399369831	0.340291453328	1.65892083497	2.29696730996	4.9200472627	18.2623079953	213.0	102.0	5
1053	4276	6539	1982	T.R. Dunn	SG	26	DEN	82	2519.0	0.172925764192	0.559	0.002	0.427	9.2	14.4	11.9	8.3	2.3	0.7	17.0	10.9	0.0414450178642	0.0157205240175	0.0571655418817	0.076	0.0171496625645	0.0157205240175	0.032870186582	0.0385867407701	3.68717745137	7.20285827709	0.512	0.0	0.0142913854704	0.0	3.68717745137	7.18856689162	0.513	0.512	2.18658197697	3.07264787614	0.712	3.01548233426	4.97340214371	7.98888447797	2.68678046844	1.92933703851	0.514489876935	1.75784041286	3.00119094879	9.56093687971	201.0	104.0	5
1103	4326	6615	1982	Reggie Johnson	PF	24	TOT	75	1904.0	0.268487394958	0.561	0.002	0.236	7.9	18.6	13.1	5.4	0.8	1.8	12.0	17.7	0.043487394958	0.0302521008403	0.0737394957983	0.099	-0.0170168067227	-0.00756302521008	-0.0245798319328	0.00567226890756	6.63655462185	12.5168067227	0.53	0.0	0.0189075630252	0.0	6.63655462185	12.4978991597	0.531	0.53	2.23109243697	2.94957983193	0.756	2.64705882353	5.88025210084	8.52731092437	1.38025210084	0.623949579832	1.13445378151	1.89075630252	4.85924369748	15.5042016807	206.0	92.0	5
27	3245	5053	1978	Allan Bristow	SF	26	SAS	82	1481.0	0.354895340986	0.529	0.0	0.387	7.3	10.7	9.1	16.7	2.1	0.1	18.8	20.2	0.038892640108	0.029169480081	0.0680621201891	0.089	0.00729237002026	-0.019446320054	-0.0121539500338	0.0145847400405	6.24713031735	13.0776502363	0.478	0.0	0.0	0.0	6.24713031735	13.0776502363	0.478	0.478	3.69480081026	5.05604321404	0.731	2.40648210668	3.84064821067	6.24713031735	4.7157326131	1.67724510466	0.0972316002701	3.54895340986	3.64618501013	16.189061445	201.0	95.0	5
29	3247	5057	1978	John Brown	SF	26	ATL	75	1594.0	0.257465495609	0.557	0.0	0.494	9.1	11.7	10.3	9.1	1.6	0.3	19.0	15.4	0.0474278544542	0.0338770388959	0.0835633626098	0.11	0.0	0.00225846925972	0.00225846925972	0.0180677540778	4.33626097867	9.14680050188	0.474	0.0	0.0	0.0	4.33626097867	9.14680050188	0.474	0.474	3.72647427854	4.51693851945	0.825	3.09410288582	3.74905897114	6.84316185696	2.37139272271	1.24215809285	0.180677540778	2.61982434128	6.32371392723	12.3989962359	201.0	99.0	5
1820	5043	7615	1985	Wayne Cooper	C	28	DEN	80	2031.0	0.26765140325	0.505	0.002	0.275	11.3	22.5	16.6	5.4	0.6	5.4	13.4	20.6	0.015952732644	0.0460856720827	0.0620384047267	0.082	-0.0443131462334	0.010635155096	-0.0336779911374	0.0	7.16100443131	15.1728212703	0.472	0.0	0.0354505169867	0.0	7.16100443131	15.1373707533	0.473	0.472	2.85376661743	4.16543574594	0.685	4.05908419498	7.12555391433	11.1846381093	1.52437223043	0.496307237814	3.49187592319	2.64106351551	5.38847858198	17.1757754801	208.0	99.0	5
1807	5030	7597	1985	Kenny Carr	PF	29	POR	48	1120.0	0.430714285714	0.572	0.008	0.452	9.0	23.2	16.1	6.6	1.0	0.8	18.7	18.9	0.0225	0.045	0.0675	0.091	-0.0610714285714	-0.0225	-0.0835714285714	-0.00642857142857	6.10714285714	11.6678571429	0.523	0.0	0.0964285714286	0.0	6.10714285714	11.5714285714	0.528	0.523	3.79285714286	5.27142857143	0.72	2.89285714286	7.48928571429	10.3821428571	1.8	0.803571428571	0.546428571429	3.21428571429	4.53214285714	16.0071428571	201.0	99.0	5
1821	5044	7616	1985	Dave Corzine	C	28	CHI	82	2062.0	0.206013579049	0.534	0.002	0.352	7.5	16.0	11.9	9.2	0.7	1.8	15.9	15.8	0.0226964112512	0.0279340446169	0.0506304558681	0.067	-0.0226964112512	0.00872938894277	-0.0122211445199	0.0122211445199	4.81862269641	9.91658583899	0.486	0.0	0.0174587778855	0.0	4.81862269641	9.89912706111	0.487	0.486	2.60135790495	3.49175557711	0.745	2.26964112512	5.09796314258	7.3676042677	2.44422890398	0.558680892338	1.11736178468	2.16488845781	3.29970902037	12.2386032978	211.0	113.0	5
1756	4979	7536	1984	Jerome Whitehead	C	27	SDC	70	921.0	0.476872964169	0.551	0.0	0.364	11.6	18.5	15.1	2.7	0.9	0.7	14.7	17.3	0.042996742671	0.0156351791531	0.0586319218241	0.08	-0.0547231270358	-0.0977198697068	-0.156351791531	-0.0195439739414	5.62866449511	11.4918566775	0.49	0.0	0.0	0.0	5.62866449511	11.4918566775	0.49	0.49	3.43973941368	4.18241042345	0.822	3.67426710098	5.90228013029	9.57654723127	0.742671009772	0.664495114007	0.469055374593	2.30618892508	6.21498371336	14.6970684039	208.0	99.0	5
1080	4303	6576	1982	Steve Hawes	PF	31	ATL	49	1317.0	0.396355353075	0.536	0.027	0.341	7.6	19.9	13.7	16.0	1.4	1.6	17.0	16.9	0.0328018223235	0.0574031890661	0.0874715261959	0.118	-0.00546697038724	0.0683371298405	0.0601366742597	0.0382687927107	4.86560364465	10.1138952164	0.481	0.109339407745	0.273348519362	0.4	4.7562642369	9.84054669704	0.483	0.486	2.62414578588	3.44419134396	0.762	2.43280182232	6.31435079727	8.74715261959	3.88154897494	0.984054669704	0.929384965831	2.37813211845	4.26423690205	12.4646924829	206.0	99.0	5
1763	4986	7543	1984	Herb Williams	C	25	IND	69	2279.0	0.233786748574	0.52	0.005	0.343	7.5	19.3	13.4	13.7	1.2	2.7	17.3	21.7	-0.0047389205792	0.0489688459851	0.0442299254059	0.059	-0.0300131636683	0.0284335234752	-0.00157964019307	0.0173760421237	6.49232119351	13.5849056604	0.478	0.0	0.0631856077227	0.0	6.49232119351	13.5217200527	0.48	0.478	3.26985519965	4.65993856955	0.702	2.43264589732	6.31856077227	8.75120666959	3.39622641509	0.94778411584	1.70601140851	3.26985519965	3.04870557262	16.2544975867	208.0	109.0	5
3070	6299	9543	1989	Orlando Woolridge	SF	29	LAL	74	1491.0	0.338028169014	0.554	0.002	0.694	6.5	13.2	10.1	5.2	1.0	2.5	13.8	20.7	0.041046277666	0.0386317907445	0.0796780684105	0.105	-0.0482897384306	-0.0193158953722	-0.0676056338028	-0.00724346076459	5.57746478873	11.9275653924	0.468	0.0	0.0241448692153	0.0	5.57746478873	11.9034205231	0.469	0.468	6.10865191147	8.28169014085	0.738	1.95573440644	4.56338028169	6.51911468813	1.40040241449	0.724346076459	1.56941649899	2.48692152918	3.13883299799	17.2635814889	206.0	97.0	5
1768	4991	7551	1984	Bill Willoughby	SF	26	NJN	67	936.0	0.430769230769	0.53	0.027	0.244	9.0	14.6	11.8	7.7	1.1	1.5	15.6	14.4	0.0269230769231	0.0423076923077	0.0692307692308	0.092	-0.0692307692308	0.0269230769231	-0.0423076923077	0.00769230769231	4.76923076923	9.92307692308	0.481	0.0	0.269230769231	0.0	4.76923076923	9.65384615385	0.494	0.481	2.11538461538	2.42307692308	0.873	2.88461538462	4.53846153846	7.42307692308	2.15384615385	0.884615384615	0.923076923077	2.03846153846	4.07692307692	11.6538461538	203.0	92.0	5
1	3219	5011	1978	Tom Abernethy	SF	23	LAL	73	1317.0	0.426423690205	0.544	0.0	0.275	8.5	12.0	10.3	9.7	1.9	0.8	9.9	14.9	0.079271070615	0.0355353075171	0.112072892938	0.15	0.0355353075171	0.00820045558087	0.0410022779043	0.0328018223235	5.49430523918	11.0432801822	0.498	0.0	0.0	0.0	5.49430523918	11.0432801822	0.498	0.498	2.4874715262	3.03416856492	0.82	2.8701594533	4.37357630979	7.2437357631	2.76082004556	1.50341685649	0.601366742597	1.36674259681	3.33485193622	13.4760820046	201.0	99.0	5
1096	4319	6606	1982	Eddie Johnson	SF	22	KCK	74	1517.0	0.310876730389	0.487	0.017	0.232	9.2	14.8	11.9	10.1	1.6	0.5	12.0	21.7	0.00711931443639	0.0332234673698	0.0427158866183	0.056	-0.0261041529334	-0.0118655240606	-0.0379696769941	0.00237310481213	7.00065919578	15.259063942	0.459	0.0237310481213	0.261041529334	0.091	6.97692814766	14.9980224127	0.465	0.46	2.34937376401	3.53592617007	0.664	3.03757415953	4.60382333553	7.64139749506	2.58668424522	1.18655240606	0.332234673698	2.30191166777	4.98352010547	16.3744232037	203.0	92.0	5
1089	4312	6595	1982	Phil Hubbard	SF	25	DET	52	1104.0	0.440217391304	0.54	0.007	0.398	9.7	17.5	13.5	8.5	1.6	0.8	17.0	20.5	0.0195652173913	0.0391304347826	0.0586956521739	0.08	-0.0326086956522	-0.0130434782609	-0.045652173913	0.00652173913043	6.75	13.3695652174	0.505	0.0	0.0978260869565	0.0	6.75	13.2717391304	0.509	0.505	3.45652173913	5.3152173913	0.65	3.29347826087	5.57608695652	8.86956521739	2.1847826087	1.23913043478	0.521739130435	3.22826086957	5.73913043478	16.9565217391	203.0	97.0	5
1760	4983	7540	1984	Jeff Wilkins	C	28	UTA	81	1734.0	0.226297577855	0.527	0.006	0.35	7.0	19.8	13.8	5.5	0.7	1.3	15.4	16.3	0.0103806228374	0.039446366782	0.0477508650519	0.065	-0.0622837370242	-0.0103806228374	-0.0726643598616	-0.0145328719723	5.16955017301	10.7958477509	0.479	0.0	0.0622837370242	0.0	5.16955017301	10.7335640138	0.482	0.479	2.78200692042	3.7785467128	0.736	2.26297577855	7.18339100346	9.44636678201	1.51557093426	0.560553633218	0.871972318339	2.26297577855	4.25605536332	13.1211072664	211.0	104.0	5
1088	4311	6594	1982	Phil Hubbard	SF	25	TOT	83	1839.0	0.262316476346	0.535	0.006	0.421	10.8	18.0	14.3	7.0	1.7	0.6	17.0	20.6	0.0176182707993	0.0332789559543	0.0508972267537	0.069	-0.0234910277325	-0.015660685155	-0.0391517128874	0.0	6.38172920065	13.0179445351	0.49	0.0	0.0783034257749	0.0	6.38172920065	12.9396411093	0.493	0.49	3.73898858075	5.48123980424	0.682	3.66068515498	5.5986949429	9.25938009788	1.78140293638	1.27243066884	0.371941272431	3.15171288744	5.71615008157	16.5024469821	203.0	97.0	5
1757	4980	7537	1984	Mitchell Wiggins	SG	24	CHI	82	2123.0	0.232312764955	0.501	0.033	0.322	7.4	10.4	8.9	13.8	2.4	0.3	12.0	22.5	0.0186528497409	0.0373056994819	0.0559585492228	0.076	-0.00169571361281	0.00169571361281	0.0	0.0186528497409	6.76589731512	15.091851154	0.448	0.118699952897	0.491756947715	0.241	6.64719736222	14.6000942063	0.455	0.452	3.61186999529	4.86669806877	0.742	2.34008478568	3.22185586434	5.56194065002	3.17098445596	1.79745642958	0.186528497409	2.35704192181	4.71408384362	17.2623645784	193.0	83.0	5
8	3226	5023	1978	Greg Ballard	SF	23	WSB	76	936.0	0.542307692308	0.484	0.0	0.341	10.7	17.5	14.1	8.8	1.4	0.7	14.3	18.0	0.0384615384615	0.0423076923077	0.0769230769231	0.104	-0.0346153846154	-0.00769230769231	-0.0423076923077	0.00769230769231	5.46153846154	12.8461538462	0.425	0.0	0.0	0.0	5.46153846154	12.8461538462	0.425	0.425	3.38461538462	4.38461538462	0.772	3.92307692308	6.30769230769	10.2307692308	2.38461538462	1.15384615385	0.5	2.46153846154	3.46153846154	14.3076923077	201.0	97.0	5
9	3227	5024	1978	Mike Bantom	SF	26	IND	82	2775.0	0.192	0.525	0.0	0.327	6.3	15.3	10.7	12.2	1.6	0.9	15.4	19.2	0.0428108108108	0.0337297297297	0.0765405405405	0.102	0.00518918918919	0.00518918918919	0.0103783783784	0.0259459459459	6.51243243243	13.5827027027	0.479	0.0	0.0	0.0	6.51243243243	13.5827027027	0.479	0.479	3.29513513514	4.43675675676	0.743	2.38702702703	5.52648648649	7.91351351351	3.08756756757	1.2972972973	0.648648648649	2.82810810811	4.32	16.32	206.0	90.0	5
10	3228	5025	1978	Marvin Barnes	PF	25	TOT	60	1646.0	0.304009720535	0.463	0.0	0.275	8.8	19.6	14.2	11.8	1.8	2.6	15.5	21.1	0.00218712029162	0.0415552855407	0.0437424058323	0.06	-0.0306196840826	0.0262454434994	-0.00437424058323	0.0153098420413	6.10206561361	14.4568651276	0.422	0.0	0.0	0.0	6.10206561361	14.4568651276	0.422	0.422	2.79951397327	3.98055893074	0.703	2.95261239368	6.64884568651	9.60145808019	2.9744835966	1.39975698663	1.81530984204	2.9744835966	5.27095990279	15.0036452005	203.0	95.0	5
11	3229	5027	1978	Marvin Barnes	PF	25	BUF	48	1377.0	0.36862745098	0.464	0.0	0.282	8.4	18.7	13.6	12.2	1.9	2.7	14.9	20.8	0.0078431372549	0.0418300653595	0.0470588235294	0.064	-0.0313725490196	0.0392156862745	0.0078431372549	0.0209150326797	5.90849673203	14.1960784314	0.416	0.0	0.0	0.0	5.90849673203	14.1960784314	0.416	0.416	2.98039215686	4.0	0.745	2.79738562092	6.30065359477	9.09803921569	3.05882352941	1.49019607843	1.88235294118	2.79738562092	5.17647058824	14.7973856209	203.0	95.0	5
